Code,Name,Professor,DisplayUnits,Cohort,Term
LOB,Language of Business,Prof. George Tan,1.5,9,1
OM,Operations Management,"Prof. Amang ""Song Kyoo"" Kim, Ph.D",2,9,1
MC,Management Communication,Prof. Maria Veronica G. Caparas,1.5,9,1
FM1,Financial Management ,Prof. Ma. Theresa P. Manalac / Prof. Gully Go,1,9,1
QA,Quantitative Analysis,Prof. Ronald T. Chua,2,9,1
ECON,Economics,"Prof. Jamil Paolo Francisco/Prof. Federico M. Macaranas, Ph.D",2,9,1
MCP,Managing Cost and Profit,Prof. Enrico C. Angtuaco,2,9,1
MM,Marketing Management,Prof. Richard L. Cruz,2.5,9,1
MPO,Managing People in Organizations,"Dean Horacio M. Borromeo, Ph.D",2,9,1
BIZNET,Business Networking,Prof. Robert S. Keitel,1,9,1
MOL,Management of Learning,Prof. Gaston D. Ortigas,4,9,1
